"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Field.ID","Field.name","ag10_vs_1","ag10_vs_2","ag10_vs_2_1","ag10_vs_2_2","ag10_vs_2_3","ag10_vs_2_4","ag10_vs_2_5","ag10_vs_2_6","ag10_vs_2_7","ag10_vs_2_8","ag10_vs_2_9","ag10_vs_2_50","ag10_vs_2_51","ag10_vs_2_other","ag10_vs_3","ag10_vs_3_other"
"90","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","GLaBCfmRHT9","2014-12-15T00:00:00Z","M3","Baa",2,"","","","",NA,"","","","","","","","",NA,""
"91","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","FcfWcnPR1A6","2015-02-16T00:00:00Z","M2","Nameyile 2",1,"1 2 5 6 7 8 50","t","t","",NA,"t","t","t","t","","t","","",NA,""
"92","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6o1LRkbmmy9","2015-05-21T00:00:00Z","M6","Kogyakezo 2",2,"","","","",NA,"","","","","","","","",NA,""
"93","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","W8ZrkDDq8B","2014-09-12T00:00:00Z","M1","Topiase 1",NA,"","","","",NA,"","","","","","","","",NA,""
"94","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","pdf1PrAkhV","2015-05-15T00:00:00Z","M2","Mile2-2",2,"","","","",NA,"","","","","","","","",NA,""
"95","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","rzTsdWdr6y3","2014-08-29T00:00:00Z","M3","Yenkyiri 3",2,"","","","",NA,"","","","","","","","",NA,""
"96","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","gEi4dQZTGjA","2014-12-29T00:00:00Z","M2","Kukuo",1,"1 2","t","t","",NA,"","","","","","","","",1,""
"97","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","KoKjL6iByr6","2015-03-02T00:00:00Z","M1","White Volta",2,"","","","",NA,"","","","","","","","",NA,""
"98","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","CxMdVRz4Fo","2014-08-21T00:00:00Z","M1","Kuntenase 1",2,"","","","",NA,"","","","","","","","",NA,""
"99","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","7KKdwdFxzG7","2014-09-07T00:00:00Z","M3","Topease",NA,"","","","",NA,"","","","","","","","",NA,""
"100","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","o1aKSCrDRMB","2015-04-27T00:00:00Z","M3","Anazekezo 2",2,"","","","",NA,"","","","","","","","",NA,""
"101","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","bnNcJ3bknL7","2015-02-17T00:00:00Z","M3","Groundnut",2,"","","","",NA,"","","","","","","","",NA,""
"102","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","rvasPDxnwj3","2015-02-27T00:00:00Z","M1","Maize Farm",2,"","","","",NA,"","","","","","","","",NA,""
