"","Country","Partner.Organization","longitude","latitude","Region","District","Landscape..","Household.ID","Household.head.ID","Enumerator.ID","Time.interview.start","Date.of.interview","Supervisor.ID","Questionnaire.inspection.date","Clerk.ID","Data.entry.date","fr_01","fr2_10","fr_5","ag12b_vs_09a","ag12a_vs_10","ag12a_vs_10_other","End.Time","Survey.Instrument"
"69","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","K5Z7A224KK7","de4x1WYHF58",NA,NA,NA,"fBG8mpPu1V3","2014-09-20","jPsrT9HYaWB","2014-09-20T00:00:00Z",1,2,"1411228932112.jpg",1,"2","",NA,NA
"70","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,5,3,"L06","GAwYHaSgWn8","GoWgrpdCMR",NA,NA,NA,"v9K7xXZ67n5","2014-09-07","","2014-09-07T00:00:00Z",1,2,"",NA,"","",NA,NA
"71","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","UNJbgF8rDE4","C7x34jzm3r6",NA,NA,NA,"GLjkaGjMaf6","2014-09-25","","2014-09-25T00:00:00Z",1,2,"",2,"","",NA,NA
"72","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,3,1,"L06","Jsv9PkxATh9","iFZZNPqH8P3",NA,NA,NA,"kNZW9z5PqgB","2014-09-10","QwBungHb3H3","2014-09-10T00:00:00Z",1,2,"",1,"other","Awutu Rural Bank",NA,NA
"73","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","ArjKWQXjiQ2","PvPCFh7eDE5",NA,NA,NA,"xexPKpAgiJ2","2015-01-02","jPsrT9HYaWB","2015-01-02T00:00:00Z",1,NA,"1420195682726.jpg",2,"","",NA,NA
"74","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","v5AnXEEYcG3","C3nUCp7sJb4",NA,NA,NA,"GLjkaGjMaf6","2014-09-03","Nv3qBdibWD5","2014-09-03T00:00:00Z",1,2,"1409734774273.jpg",2,"","",NA,NA
"75","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,3,1,"L06","4TD5PFFKHJ7","6PSB43uMz86",NA,NA,NA,"kNZW9z5PqgB","2014-09-13","","2014-09-13T00:00:00Z",1,2,"",1,"2","",NA,NA
"76","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","56esinYPtWB","op8NRSMbTs3",NA,NA,NA,"xexPKpAgiJ2","2014-10-03","jPsrT9HYaWB","2014-10-03T00:00:00Z",1,2,"",1,"2","",NA,NA
"77","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","oJSmP1FYvbB","TMgu7kGd6VB",NA,NA,NA,"xexPKpAgiJ2","2015-01-02","jPsrT9HYaWB","2015-01-02T00:00:00Z",1,NA,"1420193817814.jpg",2,"","",NA,NA
"78","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,5,3,"L06","uVDhbqsgm8B","8NixXkuHNd7",NA,NA,NA,"kNZW9z5PqgB","2014-09-08","","2014-09-08T00:00:00Z",1,2,"",1,"other","HFC Bank",NA,NA
"79","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","vz6UQ8NGgEA","d5cnuzihtS6",NA,NA,NA,"b1NCZnXapeA","2015-02-09","intxmu8iSK4","2015-02-09T00:00:00Z",1,2,"1423492354290.jpg",2,"","",NA,NA
"80","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,3,1,"L06","E3EGXT3BJS5","eY4nGzagYD3",NA,NA,NA,"kNZW9z5PqgB","2014-09-10","","2014-09-10T00:00:00Z",1,2,"",NA,"","",NA,NA
"81","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","gEi4dQZTGjA","Kry5vKhV27B",NA,NA,NA,"b1NCZnXapeA","2014-12-29","intxmu8iSK4","2014-12-29T00:00:00Z",1,2,"",2,"","",NA,NA
"82","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","UDYnaavH8U3","9DtVqpvxzAB",NA,NA,NA,"d12YSFUD4x8","2015-02-17","jPsrT9HYaWB","2015-02-17T00:00:00Z",1,NA,"1424162008088.jpg",2,"","",NA,NA
"83","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","KaNq8vjzJV5","HikAbFEjPj4",NA,NA,NA,"GiqrBSUhcd2","2014-08-19","intxmu8iSK4","2014-08-19T00:00:00Z",1,2,"1408487375109.jpg",1,"5","",NA,NA
"84","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","qAcLcu8zBx5","DkApGAu6Dn5",NA,NA,NA,"GiqrBSUhcd2","2015-05-27","jPsrT9HYaWB","2015-05-27T00:00:00Z",1,1,"1432720481311.jpg",1,"2","",NA,NA
"85","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,3,1,"L06","7KKdwdFxzG7","9eDPQ7yf24A",NA,NA,NA,"v9K7xXZ67n5","2014-09-07","","2014-09-07T00:00:00Z",1,2,"",1,"","",NA,NA
